event_second,pair_1,ask_1,pair_2,ask_2,pair_3,ask_3,ratio
2024-02-17 15:03:46,LINKBTC,0.00037,BTCUSDT,51675.1,LINKUSDT,19.491,0.9809546457339284
2024-02-17 15:05:35,LINKBTC,0.00037,BTCUSDT,51674.82,LINKUSDT,19.49,0.9809996613648025
2024-02-17 15:05:26,LINKBTC,0.00037,BTCUSDT,51675.1,LINKUSDT,19.49,0.9810049769112366
2024-02-17 14:46:36,LINKBTC,0.000371,BTCUSDT,51703.14,LINKUSDT,19.517,0.9828285566429268
2024-02-17 14:34:40,LINKBTC,0.0003704,BTCUSDT,51732.86,LINKUSDT,19.487,0.983314586339611
2024-02-17 15:04:00,LINKBTC,0.0003714,BTCUSDT,51675.1,LINKUSDT,19.491,0.9846663660150838
2024-02-17 14:35:13,LINKBTC,0.0003714,BTCUSDT,51733.65,LINKUSDT,19.486,0.9860349794724418
2024-02-17 14:35:15,LINKBTC,0.0003715,BTCUSDT,51733.71,LINKUSDT,19.487,0.9862510014368554
2024-02-17 14:36:49,LINKBTC,0.0003717,BTCUSDT,51760.07,LINKUSDT,19.506,0.986323081051984
2024-02-17 14:48:01,LINKBTC,0.0003722,BTCUSDT,51699.85,LINKUSDT,19.505,0.986551354524481
2024-02-17 14:36:56,LINKBTC,0.0003719,BTCUSDT,51760.27,LINKUSDT,19.51,0.9866552748846744
2024-02-17 14:38:13,LINKBTC,0.000372,BTCUSDT,51743.17,LINKUSDT,19.505,0.9868474360420405
2024-02-17 15:26:52,LINKBTC,0.0003757,BTCUSDT,51659.81,LINKUSDT,19.645,0.9879659260371597
2024-02-17 14:48:07,LINKBTC,0.0003728,BTCUSDT,51699.85,LINKUSDT,19.508,0.9879897518966577
2024-02-17 15:26:28,LINKBTC,0.0003757,BTCUSDT,51659.8,LINKUSDT,19.64,0.9882172535641549
2024-02-17 15:26:12,LINKBTC,0.0003757,BTCUSDT,51659.82,LINKUSDT,19.628,0.9888218042592215
2024-02-17 15:48:54,BNBBTC,0.00686,BTCUSDT,51672.64,BNBUSDT,358.0,0.9901517050279329
2024-02-17 15:50:06,BNBBTC,0.006861,BTCUSDT,51697.59,BNBUSDT,358.2,0.9902210077889447
2024-02-17 15:24:52,LINKBTC,0.0003757,BTCUSDT,51652.51,LINKUSDT,19.597,0.990245854314436
2024-02-17 15:24:55,LINKBTC,0.0003757,BTCUSDT,51652.53,LINKUSDT,19.597,0.9902462377404704
2024-02-17 15:24:48,LINKBTC,0.0003757,BTCUSDT,51644.56,LINKUSDT,19.593,0.9902955745419282
2024-02-17 15:54:04,BNBBTC,0.006861,BTCUSDT,51685.13,BNBUSDT,358.0,0.9905354104189944
2024-02-17 15:52:17,BNBBTC,0.00686,BTCUSDT,51696.61,BNBUSDT,358.0,0.9906110184357542
2024-02-17 15:49:49,BNBBTC,0.00686,BTCUSDT,51697.22,BNBUSDT,358.0,0.9906227072625697
2024-02-17 15:50:03,BNBBTC,0.00686,BTCUSDT,51697.52,BNBUSDT,358.0,0.9906284558659216
2024-02-17 15:49:53,BNBBTC,0.006861,BTCUSDT,51697.3,BNBUSDT,358.0,0.9907686460893855
2024-02-17 15:27:06,LINKBTC,0.000377,BTCUSDT,51637.34,LINKUSDT,19.648,0.990801973737785
2024-02-17 16:22:30,BNBBTC,0.006865,BTCUSDT,51537.58,BNBUSDT,357.0,0.9910517834733894
2024-02-17 15:55:27,BNBBTC,0.006862,BTCUSDT,51686.35,BNBUSDT,357.8,0.991256941587479
2024-02-17 15:22:33,LINKBTC,0.0003757,BTCUSDT,51624.82,LINKUSDT,19.565,0.9913337528239203
2024-02-17 15:55:29,BNBBTC,0.006863,BTCUSDT,51686.35,BNBUSDT,357.8,0.991401397568474
2024-02-17 16:18:35,ADABTC,1.128e-05,BTCUSDT,51576.32,ADAUSDT,0.5868,0.9914466421267895
2024-02-17 16:16:36,ADABTC,1.127e-05,BTCUSDT,51550.29,ADAUSDT,0.5859,0.991588612903226
2024-02-17 15:55:12,LINKBTC,0.0003795,BTCUSDT,51686.34,LINKUSDT,19.78,0.9916565232558138
2024-02-17 15:28:06,AVAXBTC,0.0007638,BTCUSDT,51623.19,AVAXUSDT,39.76,0.9916949829476862
2024-02-17 14:35:40,SOLUSDC,108.58,USDCUSDT,0.9993,SOLUSDT,109.41,0.9917191664381683
2024-02-17 14:54:24,MATICBTC,1.791e-05,BTCUSDT,51690.82,MATICUSDT,0.9335,0.9917328186395287
2024-02-17 14:55:09,MATICBTC,1.791e-05,BTCUSDT,51692.22,MATICUSDT,0.9335,0.9917596788430638
2024-02-17 14:55:30,MATICBTC,1.791e-05,BTCUSDT,51692.69,MATICUSDT,0.9335,0.9917686961971076
2024-02-17 14:36:46,LINKBTC,0.0003737,BTCUSDT,51757.42,LINKUSDT,19.502,0.9917827840221515
2024-02-17 14:22:03,SOLBTC,0.0021018,BTCUSDT,51724.49,SOLUSDT,109.61,0.9918304268041237
