event_second,pair_1,bid_1,pair_2,bid_2,pair_3,bid_3,ratio
2024-02-17 16:20:53,SOLETH,0.03911,ETHUSDT,2766.5,SOLUSDT,107.43,1.0071471190542678
2024-02-17 16:21:01,SOLETH,0.03905,ETHUSDC,2765.65,SOLUSDC,107.24,1.0070741560984708
2024-02-17 16:21:01,SOLETH,0.03905,ETHUSDT,2766.5,SOLUSDT,107.31,1.0067265399310408
2024-02-17 16:20:53,SOLETH,0.03911,ETHBTC,0.05353,SOLBTC,0.0020803,1.0063732634716145
2024-02-17 14:36:33,ETHBTC,0.05373,BTCUSDC,51770.14,ETHUSDC,2765.91,1.0056761146241202
2024-02-17 16:20:32,SOLETH,0.03911,ETHUSDT,2766.76,SOLUSDT,107.6,1.005650405204461
2024-02-17 16:20:57,SOLETH,0.03905,ETHUSDT,2766.5,SOLUSDT,107.43,1.0056020199199478
2024-02-17 16:21:01,SOLETH,0.03905,ETHBTC,0.05353,SOLBTC,0.0020791,1.005409311721418
2024-02-17 14:36:53,ETHBTC,0.05368,BTCUSDC,51800.0,ETHUSDC,2765.91,1.0053197681775619
2024-02-17 14:36:57,ETHBTC,0.05368,BTCUSDC,51800.0,ETHUSDC,2765.94,1.005308864255913
2024-02-17 16:20:57,SOLETH,0.03905,ETHBTC,0.05355,SOLBTC,0.0020803,1.0052047781569966
2024-02-17 16:21:04,SOLETH,0.03896,ETHUSDT,2766.49,SOLUSDT,107.23,1.0051520134290777
2024-02-17 16:20:08,SOLETH,0.03918,ETHUSDT,2769.78,SOLUSDT,107.97,1.0050938260627953
2024-02-17 16:08:22,SOLETH,0.03921,ETHUSDT,2775.97,SOLUSDT,108.3,1.0050395540166206
2024-02-17 16:18:07,SOLETH,0.03921,ETHUSDT,2768.66,SOLUSDT,108.02,1.004991284947232
2024-02-17 14:36:52,ETHBTC,0.05366,BTCUSDC,51800.0,ETHUSDC,2765.91,1.0049452079062589
2024-02-17 16:21:06,SOLETH,0.03896,ETHUSDT,2765.61,SOLUSDT,107.22,1.004925998880806
2024-02-17 16:21:06,SOLETH,0.03896,ETHUSDC,2765.64,SOLUSDC,107.23,1.004843181945351
2024-02-17 16:17:44,SOLETH,0.03921,ETHUSDT,2767.7,SOLUSDT,108.0,1.0048288611111111
2024-02-17 16:17:18,SOLETH,0.03921,ETHUSDT,2767.17,SOLUSDT,107.98,1.0048225199110947
2024-02-17 15:54:28,ETHBTC,0.05374,BTCUSDC,51711.23,ETHUSDC,2765.65,1.00481315430369
2024-02-17 15:54:38,ETHBTC,0.05374,BTCUSDC,51711.21,ETHUSDC,2765.67,1.0048054993545867
2024-02-17 15:54:29,ETHBTC,0.05374,BTCUSDC,51711.19,ETHUSDC,2765.67,1.0048051107326614
2024-02-17 16:17:04,SOLETH,0.03921,ETHUSDT,2766.82,SOLUSDT,107.97,1.0047884801333704
2024-02-17 16:08:29,SOLETH,0.03921,ETHUSDT,2775.97,SOLUSDT,108.33,1.0047612268069788
2024-02-17 15:59:28,ETHBTC,0.05374,BTCUSDC,51711.42,ETHUSDC,2765.84,1.0047478201197466
2024-02-17 15:58:15,ETHBTC,0.05374,BTCUSDC,51711.18,ETHUSDC,2765.84,1.0047431569432794
2024-02-17 16:17:02,SOLETH,0.03921,ETHUSDT,2766.67,SOLUSDT,107.97,1.004734006668519
2024-02-17 16:16:58,SOLETH,0.03921,ETHUSDT,2766.66,SOLUSDT,107.97,1.0047303751041956
2024-02-17 16:16:57,SOLETH,0.03921,ETHUSDT,2766.65,SOLUSDT,107.97,1.0047267435398723
2024-02-17 16:00:50,ETHBTC,0.05374,BTCUSDC,51711.21,ETHUSDC,2765.89,1.0047255767221401
2024-02-17 16:16:53,SOLETH,0.03921,ETHUSDT,2766.61,SOLUSDT,107.97,1.0047122172825786
2024-02-17 16:08:20,SOLETH,0.03921,ETHUSDT,2775.97,SOLUSDT,108.34,1.00466848532398
2024-02-17 16:08:38,SOLETH,0.03921,ETHUSDT,2775.99,SOLUSDT,108.35,1.0045829986155976
2024-02-17 16:20:59,SOLETH,0.03905,ETHBTC,0.0535,SOLBTC,0.0020801,1.004362771020624
2024-02-17 16:10:43,SOLETH,0.03921,ETHUSDT,2774.08,SOLUSDT,108.3,1.0043552797783935
2024-02-17 16:17:07,SOLETH,0.03921,ETHUSDT,2766.88,SOLUSDT,108.02,1.0043451657100537
2024-02-17 16:16:56,SOLETH,0.03921,ETHUSDT,2766.62,SOLUSDT,108.01,1.0043437663179335
2024-02-17 16:10:58,SOLETH,0.03921,ETHUSDT,2773.51,SOLUSDT,108.28,1.0043343840044332
2024-02-17 16:10:44,SOLETH,0.03921,ETHUSDT,2773.75,SOLUSDT,108.3,1.0042358033241
2024-02-17 16:18:10,SOLETH,0.03921,ETHUSDT,2768.97,SOLUSDT,108.12,1.004174192563818
2024-02-17 16:10:42,SOLETH,0.03921,ETHUSDT,2774.09,SOLUSDT,108.32,1.004173457348597
2024-02-17 16:12:21,SOLETH,0.03921,ETHUSDT,2772.0,SOLUSDT,108.24,1.004158536585366
2024-02-17 16:13:47,SOLETH,0.03921,ETHUSDT,2771.99,SOLUSDT,108.24,1.0041549140798227
2024-02-17 16:18:03,SOLETH,0.03921,ETHUSDT,2768.65,SOLUSDT,108.11,1.0041510174821942
2024-02-17 16:18:17,SOLETH,0.03921,ETHUSDT,2769.01,SOLUSDT,108.13,1.0040958300194212
2024-02-17 16:10:41,SOLETH,0.03921,ETHUSDT,2774.09,SOLUSDT,108.33,1.0040807615618943
2024-02-17 16:06:33,SOLETH,0.03921,ETHUSDT,2776.87,SOLUSDT,108.45,1.0039748520055325
2024-02-17 16:07:29,SOLETH,0.03921,ETHUSDT,2775.97,SOLUSDT,108.42,1.00392716934145
2024-02-17 16:17:08,SOLETH,0.03921,ETHUSDT,2766.89,SOLUSDT,108.07,1.0038841204774684
2024-02-17 16:07:06,SOLETH,0.03921,ETHUSDT,2775.97,SOLUSDT,108.43,1.003834581757816
2024-02-17 14:40:39,ETHBTC,0.05371,BTCUSDC,51770.0,ETHUSDC,2769.97,1.0038255648978147
2024-02-17 14:36:51,ETHBTC,0.0536,BTCUSDC,51800.0,ETHUSDC,2765.91,1.0038215270923494
2024-02-17 16:06:32,SOLETH,0.03921,ETHUSDT,2776.14,SOLUSDT,108.44,1.0038034802655846
2024-02-17 16:10:40,SOLETH,0.03921,ETHUSDT,2774.09,SOLUSDT,108.36,1.003802776854928
2024-02-17 14:24:33,ADABTC,1.131e-05,BTCUSDC,51750.04,ADAUSDC,0.5831,1.0037608513119534
2024-02-17 16:03:07,SOLETH,0.03921,ETHUSDT,2780.08,SOLUSDT,108.6,1.0037471160220997
2024-02-17 16:20:32,SOLETH,0.03911,ETHUSDC,2765.82,SOLUSDC,107.77,1.003722930314559
2024-02-17 15:48:34,ETHBTC,0.05382,BTCUSDC,51711.29,ETHUSDC,2772.78,1.0037224835003138
2024-02-17 16:26:33,AVAXBTC,0.0007633,BTCUSDT,51520.05,AVAXUSDT,39.18,1.0037073549004594
2024-02-17 16:21:04,SOLETH,0.03896,ETHBTC,0.05356,SOLBTC,0.002079,1.0037025493025495
2024-02-17 14:33:33,ETHBTC,0.05366,BTCUSDC,51730.22,ETHUSDC,2765.81,1.0036277275734777
2024-02-17 16:05:17,SOLETH,0.03921,ETHUSDT,2779.44,SOLUSDT,108.59,1.0036084575006907
2024-02-17 16:08:23,SOLBTC,0.0021016,BTCUSDC,51617.27,SOLUSDC,108.09,1.003597507928578
2024-02-17 16:11:58,SOLETH,0.03921,ETHUSDT,2772.59,SOLUSDT,108.33,1.0035378371642205
2024-02-17 16:15:57,SOLETH,0.03921,ETHUSDT,2766.59,SOLUSDT,108.1,1.0034967058279374
2024-02-17 14:31:09,ETHBTC,0.05365,BTCUSDC,51730.0,ETHUSDC,2765.65,1.0034944768860845
2024-02-17 14:32:01,ETHBTC,0.05365,BTCUSDC,51730.0,ETHUSDC,2765.75,1.0034581939799332
2024-02-17 16:15:09,SOLETH,0.03921,ETHUSDT,2770.05,SOLUSDT,108.24,1.0034521480044347
2024-02-17 16:26:36,AVAXBTC,0.0007633,BTCUSDT,51520.05,AVAXUSDT,39.19,1.0034512417708599
2024-02-17 16:14:44,SOLETH,0.03921,ETHUSDT,2770.04,SOLUSDT,108.24,1.0034485254988914
2024-02-17 16:10:35,SOLETH,0.03921,ETHUSDT,2774.09,SOLUSDT,108.4,1.0034323699261993
2024-02-17 16:08:24,SOLBTC,0.0021016,BTCUSDC,51611.31,SOLUSDC,108.1,1.0033887982978724
2024-02-17 14:26:59,ADABTC,1.131e-05,BTCUSDC,51730.33,ADAUSDC,0.5831,1.0033785496484309
2024-02-17 16:17:44,SOLETH,0.03921,ETHUSDC,2765.74,SOLUSDC,108.08,1.0033740321983715
